Teleconnexió,Fase,Variable,Subregió,Estació,Període,Anomalia mitjana,Unitat,N mesos
NAO,Positiva,Precipitació,Catalunya-Balears,Primavera,1991-2000,-10.5342,mm,13
NAO,Positiva,Precipitació,Catalunya-Balears,Primavera,2001-2010,0.1263,mm,12
NAO,Positiva,Precipitació,Catalunya-Balears,Primavera,2011-2020,-8.2856,mm,16
NAO,Positiva,Precipitació,Catalunya-Balears,Estiu,Tots,0.8257,mm,44
NAO,Positiva,Precipitació,Catalunya-Balears,Estiu,1981-1990,3.0393,mm,16
NAO,Positiva,Precipitació,Catalunya-Balears,Estiu,1991-2000,-0.0283,mm,14
NAO,Positiva,Precipitació,Catalunya-Balears,Estiu,2001-2010,-6.4121,mm,5
NAO,Positiva,Precipitació,Catalunya-Balears,Estiu,2011-2020,2.2398,mm,9
NAO,Positiva,Precipitació,Catalunya-Balears,Tardor,Tots,-18.9225,mm,32
NAO,Positiva,Precipitació,Catalunya-Balears,Tardor,1981-1990,-22.6888,mm,10
NAO,Positiva,Precipitació,Catalunya-Balears,Tardor,1991-2000,-18.8596,mm,9
NAO,Positiva,Precipitació,Catalunya-Balears,Tardor,2001-2010,-24.8911,mm,5
NAO,Positiva,Precipitació,Catalunya-Balears,Tardor,2011-2020,-10.5552,mm,8
NAO,Positiva,Precipitació,Golf del Lleó,Hivern,Tots,-8.6454,mm,69
NAO,Positiva,Precipitació,Golf del Lleó,Hivern,1981-1990,-3.4162,mm,17
NAO,Positiva,Precipitació,Golf del Lleó,Hivern,1991-2000,-21.4157,mm,17
NAO,Positiva,Precipitació,Golf del Lleó,Hivern,2001-2010,-17.111,mm,11
NAO,Positiva,Precipitació,Golf del Lleó,Hivern,2011-2020,0.5763,mm,24
NAO,Positiva,Precipitació,Golf del Lleó,Primavera,Tots,-12.6405,mm,52
NAO,Positiva,Precipitació,Golf del Lleó,Primavera,1981-1990,-17.4473,mm,11
NAO,Positiva,Precipitació,Golf del Lleó,Primavera,1991-2000,-9.4115,mm,13
NAO,Positiva,Precipitació,Golf del Lleó,Primavera,2001-2010,-10.7928,mm,12
NAO,Positiva,Precipitació,Golf del Lleó,Primavera,2011-2020,-13.3452,mm,16
NAO,Positiva,Precipitació,Golf del Lleó,Estiu,Tots,0.8935,mm,44
NAO,Positiva,Precipitació,Golf del Lleó,Estiu,1981-1990,-0.6785,mm,16
NAO,Positiva,Precipitació,Golf del Lleó,Estiu,1991-2000,0.6697,mm,14
NAO,Positiva,Precipitació,Golf del Lleó,Estiu,2001-2010,-4.2772,mm,5
NAO,Positiva,Precipitació,Golf del Lleó,Estiu,2011-2020,6.9087,mm,9
NAO,Positiva,Precipitació,Golf del Lleó,Tardor,Tots,-24.4467,mm,32
NAO,Positiva,Precipitació,Golf del Lleó,Tardor,1981-1990,-28.4663,mm,10
NAO,Positiva,Precipitació,Golf del Lleó,Tardor,1991-2000,-18.3224,mm,9
NAO,Positiva,Precipitació,Golf del Lleó,Tardor,2001-2010,-9.4699,mm,5
NAO,Positiva,Precipitació,Golf del Lleó,Tardor,2011-2020,-35.6724,mm,8
NAO,Positiva,Precipitació,Mediterrani central occidental,Hivern,Tots,-9.2338,mm,69
NAO,Positiva,Precipitació,Mediterrani central occidental,Hivern,1981-1990,-6.8685,mm,17
NAO,Positiva,Precipitació,Mediterrani central occidental,Hivern,1991-2000,-22.0763,mm,17
NAO,Positiva,Precipitació,Mediterrani central occidental,Hivern,2001-2010,-0.6738,mm,11
NAO,Positiva,Precipitació,Mediterrani central occidental,Hivern,2011-2020,-5.7359,mm,24
NAO,Positiva,Precipitació,Mediterrani central occidental,Primavera,Tots,-5.3348,mm,52
NAO,Positiva,Precipitació,Mediterrani central occidental,Primavera,1981-1990,-8.6763,mm,11
NAO,Positiva,Precipitació,Mediterrani central occidental,Primavera,1991-2000,-8.4922,mm,13
NAO,Positiva,Precipitació,Mediterrani central occidental,Primavera,2001-2010,1.369,mm,12
NAO,Positiva,Precipitació,Mediterrani central occidental,Primavera,2011-2020,-5.5001,mm,16
NAO,Positiva,Precipitació,Mediterrani central occidental,Estiu,Tots,1.0631,mm,44
NAO,Positiva,Precipitació,Mediterrani central occidental,Estiu,1981-1990,1.2504,mm,16
NAO,Positiva,Precipitació,Mediterrani central occidental,Estiu,1991-2000,1.2401,mm,14
NAO,Positiva,Precipitació,Mediterrani central occidental,Estiu,2001-2010,-0.7513,mm,5
NAO,Positiva,Precipitació,Mediterrani central occidental,Estiu,2011-2020,1.4626,mm,9
NAO,Positiva,Precipitació,Mediterrani central occidental,Tardor,Tots,-20.2265,mm,32
NAO,Positiva,Precipitació,Mediterrani central occidental,Tardor,1981-1990,-19.2399,mm,10
NAO,Positiva,Precipitació,Mediterrani central occidental,Tardor,1991-2000,-21.5217,mm,9
NAO,Positiva,Precipitació,Mediterrani central occidental,Tardor,2001-2010,-25.811,mm,5
NAO,Positiva,Precipitació,Mediterrani central occidental,Tardor,2011-2020,-16.5124,mm,8
NAO,Positiva,Temperatura,Llevant Ibèric,Hivern,Tots,0.1094,°C,69
NAO,Positiva,Temperatura,Llevant Ibèric,Hivern,1981-1990,-0.2661,°C,17
NAO,Positiva,Temperatura,Llevant Ibèric,Hivern,1991-2000,0.002,°C,17
NAO,Positiva,Temperatura,Llevant Ibèric,Hivern,2001-2010,-0.1045,°C,11
NAO,Positiva,Temperatura,Llevant Ibèric,Hivern,2011-2020,0.5495,°C,24
NAO,Positiva,Temperatura,Llevant Ibèric,Primavera,Tots,0.1797,°C,52
NAO,Positiva,Temperatura,Llevant Ibèric,Primavera,1981-1990,-0.2097,°C,11
NAO,Positiva,Temperatura,Llevant Ibèric,Primavera,1991-2000,0.0532,°C,13
NAO,Positiva,Temperatura,Llevant Ibèric,Primavera,2001-2010,0.1601,°C,12
NAO,Positiva,Temperatura,Llevant Ibèric,Primavera,2011-2020,0.5647,°C,16
NAO,Positiva,Temperatura,Llevant Ibèric,Estiu,Tots,-0.2865,°C,44
NAO,Positiva,Temperatura,Llevant Ibèric,Estiu,1981-1990,-0.7189,°C,16
NAO,Positiva,Temperatura,Llevant Ibèric,Estiu,1991-2000,-0.359,°C,14
NAO,Positiva,Temperatura,Llevant Ibèric,Estiu,2001-2010,0.3084,°C,5
NAO,Positiva,Temperatura,Llevant Ibèric,Estiu,2011-2020,0.2646,°C,9
NAO,Positiva,Temperatura,Llevant Ibèric,Tardor,Tots,0.2361,°C,32
NAO,Positiva,Temperatura,Llevant Ibèric,Tardor,1981-1990,-0.155,°C,10
NAO,Positiva,Temperatura,Llevant Ibèric,Tardor,1991-2000,-0.2596,°C,9
NAO,Positiva,Temperatura,Llevant Ibèric,Tardor,2001-2010,0.8003,°C,5
NAO,Positiva,Temperatura,Llevant Ibèric,Tardor,2011-2020,0.9299,°C,8
NAO,Positiva,Temperatura,Catalunya-Balears,Hivern,Tots,0.245,°C,69
NAO,Positiva,Temperatura,Catalunya-Balears,Hivern,1981-1990,-0.0699,°C,17
NAO,Positiva,Temperatura,Catalunya-Balears,Hivern,1991-2000,0.0474,°C,17
NAO,Positiva,Temperatura,Catalunya-Balears,Hivern,2001-2010,0.1142,°C,11
NAO,Positiva,Temperatura,Catalunya-Balears,Hivern,2011-2020,0.668,°C,24
NAO,Positiva,Temperatura,Catalunya-Balears,Primavera,Tots,0.1659,°C,52
NAO,Positiva,Temperatura,Catalunya-Balears,Primavera,1981-1990,-0.1583,°C,11
NAO,Positiva,Temperatura,Catalunya-Balears,Primavera,1991-2000,-0.0384,°C,13
NAO,Positiva,Temperatura,Catalunya-Balears,Primavera,2001-2010,0.1514,°C,12
NAO,Positiva,Temperatura,Catalunya-Balears,Primavera,2011-2020,0.5657,°C,16
NAO,Positiva,Temperatura,Catalunya-Balears,Estiu,Tots,-0.2125,°C,44
NAO,Positiva,Temperatura,Catalunya-Balears,Estiu,1981-1990,-0.6348,°C,16
NAO,Positiva,Temperatura,Catalunya-Balears,Estiu,1991-2000,-0.3339,°C,14
NAO,Positiva,Temperatura,Catalunya-Balears,Estiu,2001-2010,0.5546,°C,5
NAO,Positiva,Temperatura,Catalunya-Balears,Estiu,2011-2020,0.3013,°C,9
NAO,Positiva,Temperatura,Catalunya-Balears,Tardor,Tots,0.2615,°C,32
NAO,Positiva,Temperatura,Catalunya-Balears,Tardor,1981-1990,-0.0191,°C,10
NAO,Positiva,Temperatura,Catalunya-Balears,Tardor,1991-2000,-0.411,°C,9
NAO,Positiva,Temperatura,Catalunya-Balears,Tardor,2001-2010,0.9718,°C,5
NAO,Positiva,Temperatura,Catalunya-Balears,Tardor,2011-2020,0.9247,°C,8
NAO,Positiva,Temperatura,Golf del Lleó,Hivern,Tots,0.4844,°C,69
NAO,Positiva,Temperatura,Golf del Lleó,Hivern,1981-1990,0.0228,°C,17
NAO,Positiva,Temperatura,Golf del Lleó,Hivern,1991-2000,0.2446,°C,17
NAO,Positiva,Temperatura,Golf del Lleó,Hivern,2001-2010,0.2306,°C,11
NAO,Positiva,Temperatura,Golf del Lleó,Hivern,2011-2020,1.0977,°C,24
NAO,Positiva,Temperatura,Golf del Lleó,Primavera,Tots,0.3583,°C,52
NAO,Positiva,Temperatura,Golf del Lleó,Primavera,1981-1990,-0.1004,°C,11
NAO,Positiva,Temperatura,Golf del Lleó,Primavera,1991-2000,-0.0122,°C,13
NAO,Positiva,Temperatura,Golf del Lleó,Primavera,2001-2010,0.3777,°C,12
NAO,Positiva,Temperatura,Golf del Lleó,Primavera,2011-2020,0.9602,°C,16
NAO,Positiva,Temperatura,Golf del Lleó,Estiu,Tots,-0.1377,°C,44
NAO,Positiva,Temperatura,Golf del Lleó,Estiu,1981-1990,-0.6238,°C,16
NAO,Positiva,Temperatura,Golf del Lleó,Estiu,1991-2000,-0.2619,°C,14
NAO,Positiva,Temperatura,Golf del Lleó,Estiu,2001-2010,0.9572,°C,5
NAO,Positiva,Temperatura,Golf del Lleó,Estiu,2011-2020,0.3115,°C,9
NAO,Positiva,Temperatura,Golf del Lleó,Tardor,Tots,0.4544,°C,32
NAO,Positiva,Temperatura,Golf del Lleó,Tardor,1981-1990,0.1575,°C,10
NAO,Positiva,Temperatura,Golf del Lleó,Tardor,1991-2000,-0.322,°C,9
NAO,Positiva,Temperatura,Golf del Lleó,Tardor,2001-2010,1.294,°C,5
NAO,Positiva,Temperatura,Golf del Lleó,Tardor,2011-2020,1.174,°C,8
NAO,Positiva,Temperatura,Mediterrani central occidental,Hivern,Tots,0.1685,°C,69
NAO,Positiva,Temperatura,Mediterrani central occidental,Hivern,1981-1990,-0.2022,°C,17
NAO,Positiva,Temperatura,Mediterrani central occidental,Hivern,1991-2000,-0.0612,°C,17
NAO,Positiva,Temperatura,Mediterrani central occidental,Hivern,2001-2010,0.1055,°C,11
NAO,Positiva,Temperatura,Mediterrani central occidental,Hivern,2011-2020,0.6227,°C,24
NAO,Positiva,Temperatura,Mediterrani central occidental,Primavera,Tots,0.0956,°C,52
NAO,Positiva,Temperatura,Mediterrani central occidental,Primavera,1981-1990,-0.1164,°C,11
NAO,Positiva,Temperatura,Mediterrani central occidental,Primavera,1991-2000,-0.1669,°C,13
NAO,Positiva,Temperatura,Mediterrani central occidental,Primavera,2001-2010,0.1945,°C,12
NAO,Positiva,Temperatura,Mediterrani central occidental,Primavera,2011-2020,0.3805,°C,16
NAO,Positiva,Temperatura,Mediterrani central occidental,Estiu,Tots,-0.2724,°C,44
NAO,Positiva,Temperatura,Mediterrani central occidental,Estiu,1981-1990,-0.6759,°C,16
NAO,Positiva,Temperatura,Mediterrani central occidental,Estiu,1991-2000,-0.4361,°C,14
NAO,Positiva,Temperatura,Mediterrani central occidental,Estiu,2001-2010,0.5458,°C,5
NAO,Positiva,Temperatura,Mediterrani central occidental,Estiu,2011-2020,0.2451,°C,9
NAO,Positiva,Temperatura,Mediterrani central occidental,Tardor,Tots,0.0431,°C,32
NAO,Positiva,Temperatura,Mediterrani central occidental,Tardor,1981-1990,-0.2692,°C,10
NAO,Positiva,Temperatura,Mediterrani central occidental,Tardor,1991-2000,-0.4721,°C,9
NAO,Positiva,Temperatura,Mediterrani central occidental,Tardor,2001-2010,0.7446,°C,5
NAO,Positiva,Temperatura,Mediterrani central occidental,Tardor,2011-2020,0.5745,°C,8
NAO,Positiva,Humitat del sòl,Llevant Ibèric,Hivern,Tots,-0.0135,m3/m3,69
NAO,Positiva,Humitat del sòl,Llevant Ibèric,Hivern,1981-1990,-0.0008,m3/m3,17
NAO,Positiva,Humitat del sòl,Llevant Ibèric,Hivern,1991-2000,-0.0241,m3/m3,17
NAO,Positiva,Humitat del sòl,Llevant Ibèric,Hivern,2001-2010,-0.0105,m3/m3,11
NAO,Positiva,Humitat del sòl,Llevant Ibèric,Hivern,2011-2020,-0.0164,m3/m3,24
NAO,Positiva,Humitat del sòl,Llevant Ibèric,Primavera,Tots,-0.0097,m3/m3,52
NAO,Positiva,Humitat del sòl,Llevant Ibèric,Primavera,1981-1990,-0.0064,m3/m3,11
NAO,Positiva,Humitat del sòl,Llevant Ibèric,Primavera,1991-2000,-0.0219,m3/m3,13
NAO,Positiva,Humitat del sòl,Llevant Ibèric,Primavera,2001-2010,0.0065,m3/m3,12
NAO,Positiva,Humitat del sòl,Llevant Ibèric,Primavera,2011-2020,-0.0142,m3/m3,16
NAO,Positiva,Humitat del sòl,Llevant Ibèric,Estiu,Tots,-0.0008,m3/m3,44
NAO,Positiva,Humitat del sòl,Llevant Ibèric,Estiu,1981-1990,0.0087,m3/m3,16
NAO,Positiva,Humitat del sòl,Llevant Ibèric,Estiu,1991-2000,-0.0113,m3/m3,14
NAO,Positiva,Humitat del sòl,Llevant Ibèric,Estiu,2001-2010,-0.0095,m3/m3,5
NAO,Positiva,Humitat del sòl,Llevant Ibèric,Estiu,2011-2020,0.0033,m3/m3,9
NAO,Positiva,Humitat del sòl,Llevant Ibèric,Tardor,Tots,-0.0178,m3/m3,32
NAO,Positiva,Humitat del sòl,Llevant Ibèric,Tardor,1981-1990,-0.0093,m3/m3,10
NAO,Positiva,Humitat del sòl,Llevant Ibèric,Tardor,1991-2000,-0.0294,m3/m3,9
NAO,Positiva,Humitat del sòl,Llevant Ibèric,Tardor,2001-2010,-0.0094,m3/m3,5
NAO,Positiva,Humitat del sòl,Llevant Ibèric,Tardor,2011-2020,-0.0206,m3/m3,8
NAO,Positiva,Humitat del sòl,Catalunya-Balears,Hivern,Tots,-0.0074,m3/m3,69
NAO,Positiva,Humitat del sòl,Catalunya-Balears,Hivern,1981-1990,-0.0056,m3/m3,17
NAO,Positiva,Humitat del sòl,Catalunya-Balears,Hivern,1991-2000,-0.0036,m3/m3,17
NAO,Positiva,Humitat del sòl,Catalunya-Balears,Hivern,2001-2010,-0.0151,m3/m3,11
NAO,Positiva,Humitat del sòl,Catalunya-Balears,Hivern,2011-2020,-0.0079,m3/m3,24
NAO,Positiva,Humitat del sòl,Catalunya-Balears,Primavera,Tots,-0.0103,m3/m3,52
NAO,Positiva,Humitat del sòl,Catalunya-Balears,Primavera,1981-1990,-0.0092,m3/m3,11
NAO,Positiva,Humitat del sòl,Catalunya-Balears,Primavera,1991-2000,-0.018,m3/m3,13
NAO,Positiva,Humitat del sòl,Catalunya-Balears,Primavera,2001-2010,0.0009,m3/m3,12
NAO,Positiva,Humitat del sòl,Catalunya-Balears,Primavera,2011-2020,-0.0132,m3/m3,16
NAO,Positiva,Humitat del sòl,Catalunya-Balears,Estiu,Tots,0.0044,m3/m3,44
NAO,Positiva,Humitat del sòl,Catalunya-Balears,Estiu,1981-1990,0.0107,m3/m3,16
NAO,Positiva,Humitat del sòl,Catalunya-Balears,Estiu,1991-2000,-0.0004,m3/m3,14
NAO,Positiva,Humitat del sòl,Catalunya-Balears,Estiu,2001-2010,-0.0177,m3/m3,5
NAO,Positiva,Humitat del sòl,Catalunya-Balears,Estiu,2011-2020,0.0131,m3/m3,9
NAO,Positiva,Humitat del sòl,Catalunya-Balears,Tardor,Tots,-0.0123,m3/m3,32
NAO,Positiva,Humitat del sòl,Catalunya-Balears,Tardor,1981-1990,-0.0152,m3/m3,10
NAO,Positiva,Humitat del sòl,Catalunya-Balears,Tardor,1991-2000,0.0048,m3/m3,9
NAO,Positiva,Humitat del sòl,Catalunya-Balears,Tardor,2001-2010,-0.0258,m3/m3,5
NAO,Positiva,Humitat del sòl,Catalunya-Balears,Tardor,2011-2020,-0.0194,m3/m3,8
NAO,Positiva,Humitat del sòl,Golf del Lleó,Hivern,Tots,-0.0035,m3/m3,69
NAO,Positiva,Humitat del sòl,Golf del Lleó,Hivern,1981-1990,-0.0053,m3/m3,17
NAO,Positiva,Humitat del sòl,Golf del Lleó,Hivern,1991-2000,-0.0065,m3/m3,17
NAO,Positiva,Humitat del sòl,Golf del Lleó,Hivern,2001-2010,-0.0058,m3/m3,11
NAO,Positiva,Humitat del sòl,Golf del Lleó,Hivern,2011-2020,0.001,m3/m3,24
NAO,Positiva,Humitat del sòl,Golf del Lleó,Primavera,Tots,-0.0089,m3/m3,52
NAO,Positiva,Humitat del sòl,Golf del Lleó,Primavera,1981-1990,-0.0082,m3/m3,11
NAO,Positiva,Humitat del sòl,Golf del Lleó,Primavera,1991-2000,-0.0098,m3/m3,13
NAO,Positiva,Humitat del sòl,Golf del Lleó,Primavera,2001-2010,-0.0058,m3/m3,12
NAO,Positiva,Humitat del sòl,Golf del Lleó,Primavera,2011-2020,-0.0111,m3/m3,16
NAO,Positiva,Humitat del sòl,Golf del Lleó,Estiu,Tots,0.006,m3/m3,44
NAO,Positiva,Humitat del sòl,Golf del Lleó,Estiu,1981-1990,0.0054,m3/m3,16
NAO,Positiva,Humitat del sòl,Golf del Lleó,Estiu,1991-2000,0.0086,m3/m3,14
NAO,Positiva,Humitat del sòl,Golf del Lleó,Estiu,2001-2010,-0.0136,m3/m3,5
NAO,Positiva,Humitat del sòl,Golf del Lleó,Estiu,2011-2020,0.0137,m3/m3,9
NAO,Positiva,Humitat del sòl,Golf del Lleó,Tardor,Tots,-0.0112,m3/m3,32
NAO,Positiva,Humitat del sòl,Golf del Lleó,Tardor,1981-1990,-0.0174,m3/m3,10
NAO,Positiva,Humitat del sòl,Golf del Lleó,Tardor,1991-2000,0.0137,m3/m3,9
NAO,Positiva,Humitat del sòl,Golf del Lleó,Tardor,2001-2010,0.0003,m3/m3,5
NAO,Positiva,Humitat del sòl,Golf del Lleó,Tardor,2011-2020,-0.0388,m3/m3,8
NAO,Positiva,Humitat del sòl,Mediterrani central occidental,Hivern,Tots,-0.0102,m3/m3,69
NAO,Positiva,Humitat del sòl,Mediterrani central occidental,Hivern,1981-1990,-0.0182,m3/m3,17
NAO,Positiva,Humitat del sòl,Mediterrani central occidental,Hivern,1991-2000,-0.0203,m3/m3,17
NAO,Positiva,Humitat del sòl,Mediterrani central occidental,Hivern,2001-2010,0.003,m3/m3,11
NAO,Positiva,Humitat del sòl,Mediterrani central occidental,Hivern,2011-2020,-0.0034,m3/m3,24
NAO,Positiva,Humitat del sòl,Mediterrani central occidental,Primavera,Tots,-0.0087,m3/m3,52
NAO,Positiva,Humitat del sòl,Mediterrani central occidental,Primavera,1981-1990,-0.0057,m3/m3,11
NAO,Positiva,Humitat del sòl,Mediterrani central occidental,Primavera,1991-2000,-0.0271,m3/m3,13
NAO,Positiva,Humitat del sòl,Mediterrani central occidental,Primavera,2001-2010,0.0017,m3/m3,12
NAO,Positiva,Humitat del sòl,Mediterrani central occidental,Primavera,2011-2020,-0.0037,m3/m3,16
NAO,Positiva,Humitat del sòl,Mediterrani central occidental,Estiu,Tots,0.0032,m3/m3,44
NAO,Positiva,Humitat del sòl,Mediterrani central occidental,Estiu,1981-1990,0.0042,m3/m3,16
NAO,Positiva,Humitat del sòl,Mediterrani central occidental,Estiu,1991-2000,-0.0012,m3/m3,14
NAO,Positiva,Humitat del sòl,Mediterrani central occidental,Estiu,2001-2010,-0.0098,m3/m3,5
NAO,Positiva,Humitat del sòl,Mediterrani central occidental,Estiu,2011-2020,0.0155,m3/m3,9
NAO,Positiva,Humitat del sòl,Mediterrani central occidental,Tardor,Tots,-0.013,m3/m3,32
NAO,Positiva,Humitat del sòl,Mediterrani central occidental,Tardor,1981-1990,-0.0096,m3/m3,10
NAO,Positiva,Humitat del sòl,Mediterrani central occidental,Tardor,1991-2000,0.0026,m3/m3,9
NAO,Positiva,Humitat del sòl,Mediterrani central occidental,Tardor,2001-2010,-0.0289,m3/m3,5
NAO,Positiva,Humitat del sòl,Mediterrani central occidental,Tardor,2011-2020,-0.0249,m3/m3,8
NAO,Positiva,SST,Llevant Ibèric,Hivern,Tots,0.0906,°C,69
NAO,Positiva,SST,Llevant Ibèric,Hivern,1981-1990,-0.0286,°C,17
NAO,Positiva,SST,Llevant Ibèric,Hivern,1991-2000,0.0092,°C,17
NAO,Positiva,SST,Llevant Ibèric,Hivern,2001-2010,0.1309,°C,11
NAO,Positiva,SST,Llevant Ibèric,Hivern,2011-2020,0.2142,°C,24
NAO,Positiva,SST,Llevant Ibèric,Primavera,Tots,0.0991,°C,52
NAO,Positiva,SST,Llevant Ibèric,Primavera,1981-1990,-0.1144,°C,11
NAO,Positiva,SST,Llevant Ibèric,Primavera,1991-2000,0.1181,°C,13
NAO,Positiva,SST,Llevant Ibèric,Primavera,2001-2010,0.1076,°C,12
NAO,Positiva,SST,Llevant Ibèric,Primavera,2011-2020,0.2241,°C,16
NAO,Positiva,SST,Llevant Ibèric,Estiu,Tots,-0.2568,°C,44
NAO,Positiva,SST,Llevant Ibèric,Estiu,1981-1990,-0.508,°C,16
NAO,Positiva,SST,Llevant Ibèric,Estiu,1991-2000,-0.3432,°C,14
NAO,Positiva,SST,Llevant Ibèric,Estiu,2001-2010,0.0006,°C,5
NAO,Positiva,SST,Llevant Ibèric,Estiu,2011-2020,0.1808,°C,9
NAO,Positiva,SST,Llevant Ibèric,Tardor,Tots,0.0984,°C,32
NAO,Positiva,SST,Llevant Ibèric,Tardor,1981-1990,-0.0332,°C,10
NAO,Positiva,SST,Llevant Ibèric,Tardor,1991-2000,-0.6203,°C,9
NAO,Positiva,SST,Llevant Ibèric,Tardor,2001-2010,0.4533,°C,5
NAO,Positiva,SST,Llevant Ibèric,Tardor,2011-2020,0.8496,°C,8
NAO,Positiva,SST,Catalunya-Balears,Hivern,Tots,0.1108,°C,69
NAO,Positiva,SST,Catalunya-Balears,Hivern,1981-1990,-0.0308,°C,17
NAO,Positiva,SST,Catalunya-Balears,Hivern,1991-2000,-0.0452,°C,17
NAO,Positiva,SST,Catalunya-Balears,Hivern,2001-2010,0.0854,°C,11
NAO,Positiva,SST,Catalunya-Balears,Hivern,2011-2020,0.3334,°C,24
NAO,Positiva,SST,Catalunya-Balears,Primavera,Tots,0.0806,°C,52
NAO,Positiva,SST,Catalunya-Balears,Primavera,1981-1990,-0.1333,°C,11
NAO,Positiva,SST,Catalunya-Balears,Primavera,1991-2000,-0.0016,°C,13
NAO,Positiva,SST,Catalunya-Balears,Primavera,2001-2010,0.0671,°C,12
NAO,Positiva,SST,Catalunya-Balears,Primavera,2011-2020,0.3047,°C,16
NAO,Positiva,SST,Catalunya-Balears,Estiu,Tots,-0.2181,°C,44
NAO,Positiva,SST,Catalunya-Balears,Estiu,1981-1990,-0.6328,°C,16
NAO,Positiva,SST,Catalunya-Balears,Estiu,1991-2000,-0.3551,°C,14
NAO,Positiva,SST,Catalunya-Balears,Estiu,2001-2010,0.4109,°C,5
NAO,Positiva,SST,Catalunya-Balears,Estiu,2011-2020,0.3829,°C,9
NAO,Positiva,SST,Catalunya-Balears,Tardor,Tots,0.0451,°C,32
NAO,Positiva,SST,Catalunya-Balears,Tardor,1981-1990,-0.1474,°C,10
NAO,Positiva,SST,Catalunya-Balears,Tardor,1991-2000,-0.6014,°C,9
NAO,Positiva,SST,Catalunya-Balears,Tardor,2001-2010,0.4661,°C,5
NAO,Positiva,SST,Catalunya-Balears,Tardor,2011-2020,0.7499,°C,8
NAO,Positiva,SST,Golf del Lleó,Hivern,Tots,0.1039,°C,69
NAO,Positiva,SST,Golf del Lleó,Hivern,1981-1990,-0.1046,°C,17
NAO,Positiva,SST,Golf del Lleó,Hivern,1991-2000,-0.2348,°C,17
NAO,Positiva,SST,Golf del Lleó,Hivern,2001-2010,0.1702,°C,11
NAO,Positiva,SST,Golf del Lleó,Hivern,2011-2020,0.461,°C,24
NAO,Positiva,SST,Golf del Lleó,Primavera,Tots,0.1578,°C,52
NAO,Positiva,SST,Golf del Lleó,Primavera,1981-1990,-0.0634,°C,11
NAO,Positiva,SST,Golf del Lleó,Primavera,1991-2000,-0.1862,°C,13
NAO,Positiva,SST,Golf del Lleó,Primavera,2001-2010,0.2016,°C,12
NAO,Positiva,SST,Golf del Lleó,Primavera,2011-2020,0.5566,°C,16
NAO,Positiva,SST,Golf del Lleó,Estiu,Tots,-0.1033,°C,44
NAO,Positiva,SST,Golf del Lleó,Estiu,1981-1990,-0.542,°C,16
NAO,Positiva,SST,Golf del Lleó,Estiu,1991-2000,-0.3909,°C,14
NAO,Positiva,SST,Golf del Lleó,Estiu,2001-2010,0.7045,°C,5
NAO,Positiva,SST,Golf del Lleó,Estiu,2011-2020,0.6752,°C,9
NAO,Positiva,SST,Golf del Lleó,Tardor,Tots,-0.0835,°C,32
NAO,Positiva,SST,Golf del Lleó,Tardor,1981-1990,-0.268,°C,10
NAO,Positiva,SST,Golf del Lleó,Tardor,1991-2000,-0.6754,°C,9
NAO,Positiva,SST,Golf del Lleó,Tardor,2001-2010,0.6107,°C,5
NAO,Positiva,SST,Golf del Lleó,Tardor,2011-2020,0.379,°C,8
NAO,Positiva,SST,Mediterrani central occidental,Hivern,Tots,0.0693,°C,69
NAO,Positiva,SST,Mediterrani central occidental,Hivern,1981-1990,-0.1396,°C,17
NAO,Positiva,SST,Mediterrani central occidental,Hivern,1991-2000,-0.2005,°C,17
NAO,Positiva,SST,Mediterrani central occidental,Hivern,2001-2010,0.1968,°C,11
NAO,Positiva,SST,Mediterrani central occidental,Hivern,2011-2020,0.3501,°C,24
NAO,Positiva,SST,Mediterrani central occidental,Primavera,Tots,0.0894,°C,52
NAO,Positiva,SST,Mediterrani central occidental,Primavera,1981-1990,-0.1034,°C,11
NAO,Positiva,SST,Mediterrani central occidental,Primavera,1991-2000,-0.14,°C,13
NAO,Positiva,SST,Mediterrani central occidental,Primavera,2001-2010,0.2459,°C,12
NAO,Positiva,SST,Mediterrani central occidental,Primavera,2011-2020,0.2908,°C,16
NAO,Positiva,SST,Mediterrani central occidental,Estiu,Tots,-0.2407,°C,44
NAO,Positiva,SST,Mediterrani central occidental,Estiu,1981-1990,-0.6467,°C,16
NAO,Positiva,SST,Mediterrani central occidental,Estiu,1991-2000,-0.4929,°C,14
NAO,Positiva,SST,Mediterrani central occidental,Estiu,2001-2010,0.5521,°C,5
NAO,Positiva,SST,Mediterrani central occidental,Estiu,2011-2020,0.4331,°C,9
NAO,Positiva,SST,Mediterrani central occidental,Tardor,Tots,-0.0651,°C,32
NAO,Positiva,SST,Mediterrani central occidental,Tardor,1981-1990,-0.3613,°C,10
NAO,Positiva,SST,Mediterrani central occidental,Tardor,1991-2000,-0.5666,°C,9
NAO,Positiva,SST,Mediterrani central occidental,Tardor,2001-2010,0.3898,°C,5
NAO,Positiva,SST,Mediterrani central occidental,Tardor,2011-2020,0.5851,°C,8
WeMO,Negativa,Precipitació,Llevant Ibèric,Hivern,Tots,13.0616,mm,33
WeMO,Negativa,Precipitació,Llevant Ibèric,Hivern,1981-1990,13.4957,mm,5
WeMO,Negativa,Precipitació,Llevant Ibèric,Hivern,1991-2000,14.4558,mm,13
WeMO,Negativa,Precipitació,Llevant Ibèric,Hivern,2001-2010,8.8855,mm,9
