Indicador,Teleconnexió,Fase,Estació,Subregió,Període,Percentatge mesos,N episodis,N mesos
Episodi càlid i sec,NAO,Neutral,Primavera,Catalunya-Balears,2011-2020,0.0,0,7
Episodi càlid i sec,NAO,Neutral,Estiu,Catalunya-Balears,Tots,0.0,0,19
Episodi càlid i sec,NAO,Neutral,Estiu,Catalunya-Balears,1981-1990,0.0,0,2
Episodi càlid i sec,NAO,Neutral,Estiu,Catalunya-Balears,1991-2000,0.0,0,5
Episodi càlid i sec,NAO,Neutral,Estiu,Catalunya-Balears,2001-2010,0.0,0,7
Episodi càlid i sec,NAO,Neutral,Estiu,Catalunya-Balears,2011-2020,0.0,0,5
Episodi càlid i sec,NAO,Neutral,Tardor,Catalunya-Balears,Tots,9.09,2,22
Episodi càlid i sec,NAO,Neutral,Tardor,Catalunya-Balears,1981-1990,0.0,0,4
Episodi càlid i sec,NAO,Neutral,Tardor,Catalunya-Balears,1991-2000,0.0,0,4
Episodi càlid i sec,NAO,Neutral,Tardor,Catalunya-Balears,2001-2010,0.0,0,7
Episodi càlid i sec,NAO,Neutral,Tardor,Catalunya-Balears,2011-2020,28.57,2,7
Episodi càlid i sec,NAO,Neutral,Hivern,Golf del Lleó,Tots,0.0,0,23
Episodi càlid i sec,NAO,Neutral,Hivern,Golf del Lleó,1981-1990,0.0,0,5
Episodi càlid i sec,NAO,Neutral,Hivern,Golf del Lleó,1991-2000,0.0,0,8
Episodi càlid i sec,NAO,Neutral,Hivern,Golf del Lleó,2001-2010,0.0,0,6
Episodi càlid i sec,NAO,Neutral,Hivern,Golf del Lleó,2011-2020,0.0,0,4
Episodi càlid i sec,NAO,Neutral,Primavera,Golf del Lleó,Tots,3.57,1,28
Episodi càlid i sec,NAO,Neutral,Primavera,Golf del Lleó,1981-1990,0.0,0,7
Episodi càlid i sec,NAO,Neutral,Primavera,Golf del Lleó,1991-2000,0.0,0,6
Episodi càlid i sec,NAO,Neutral,Primavera,Golf del Lleó,2001-2010,12.5,1,8
Episodi càlid i sec,NAO,Neutral,Primavera,Golf del Lleó,2011-2020,0.0,0,7
Episodi càlid i sec,NAO,Neutral,Estiu,Golf del Lleó,Tots,5.26,1,19
Episodi càlid i sec,NAO,Neutral,Estiu,Golf del Lleó,1981-1990,0.0,0,2
Episodi càlid i sec,NAO,Neutral,Estiu,Golf del Lleó,1991-2000,0.0,0,5
Episodi càlid i sec,NAO,Neutral,Estiu,Golf del Lleó,2001-2010,14.29,1,7
Episodi càlid i sec,NAO,Neutral,Estiu,Golf del Lleó,2011-2020,0.0,0,5
Episodi càlid i sec,NAO,Neutral,Tardor,Golf del Lleó,Tots,13.64,3,22
Episodi càlid i sec,NAO,Neutral,Tardor,Golf del Lleó,1981-1990,25.0,1,4
Episodi càlid i sec,NAO,Neutral,Tardor,Golf del Lleó,1991-2000,0.0,0,4
Episodi càlid i sec,NAO,Neutral,Tardor,Golf del Lleó,2001-2010,0.0,0,7
Episodi càlid i sec,NAO,Neutral,Tardor,Golf del Lleó,2011-2020,28.57,2,7
Episodi càlid i sec,NAO,Neutral,Hivern,Mediterrani central occidental,Tots,0.0,0,23
Episodi càlid i sec,NAO,Neutral,Hivern,Mediterrani central occidental,1981-1990,0.0,0,5
Episodi càlid i sec,NAO,Neutral,Hivern,Mediterrani central occidental,1991-2000,0.0,0,8
Episodi càlid i sec,NAO,Neutral,Hivern,Mediterrani central occidental,2001-2010,0.0,0,6
Episodi càlid i sec,NAO,Neutral,Hivern,Mediterrani central occidental,2011-2020,0.0,0,4
Episodi càlid i sec,NAO,Neutral,Primavera,Mediterrani central occidental,Tots,0.0,0,28
Episodi càlid i sec,NAO,Neutral,Primavera,Mediterrani central occidental,1981-1990,0.0,0,7
Episodi càlid i sec,NAO,Neutral,Primavera,Mediterrani central occidental,1991-2000,0.0,0,6
Episodi càlid i sec,NAO,Neutral,Primavera,Mediterrani central occidental,2001-2010,0.0,0,8
Episodi càlid i sec,NAO,Neutral,Primavera,Mediterrani central occidental,2011-2020,0.0,0,7
Episodi càlid i sec,NAO,Neutral,Estiu,Mediterrani central occidental,Tots,0.0,0,19
Episodi càlid i sec,NAO,Neutral,Estiu,Mediterrani central occidental,1981-1990,0.0,0,2
Episodi càlid i sec,NAO,Neutral,Estiu,Mediterrani central occidental,1991-2000,0.0,0,5
Episodi càlid i sec,NAO,Neutral,Estiu,Mediterrani central occidental,2001-2010,0.0,0,7
Episodi càlid i sec,NAO,Neutral,Estiu,Mediterrani central occidental,2011-2020,0.0,0,5
Episodi càlid i sec,NAO,Neutral,Tardor,Mediterrani central occidental,Tots,9.09,2,22
Episodi càlid i sec,NAO,Neutral,Tardor,Mediterrani central occidental,1981-1990,0.0,0,4
Episodi càlid i sec,NAO,Neutral,Tardor,Mediterrani central occidental,1991-2000,0.0,0,4
Episodi càlid i sec,NAO,Neutral,Tardor,Mediterrani central occidental,2001-2010,0.0,0,7
Episodi càlid i sec,NAO,Neutral,Tardor,Mediterrani central occidental,2011-2020,28.57,2,7
Episodi fred i humit,NAO,Neutral,Hivern,Llevant Ibèric,Tots,8.7,2,23
Episodi fred i humit,NAO,Neutral,Hivern,Llevant Ibèric,1981-1990,0.0,0,5
Episodi fred i humit,NAO,Neutral,Hivern,Llevant Ibèric,1991-2000,12.5,1,8
Episodi fred i humit,NAO,Neutral,Hivern,Llevant Ibèric,2001-2010,16.67,1,6
Episodi fred i humit,NAO,Neutral,Hivern,Llevant Ibèric,2011-2020,0.0,0,4
Episodi fred i humit,NAO,Neutral,Primavera,Llevant Ibèric,Tots,0.0,0,28
Episodi fred i humit,NAO,Neutral,Primavera,Llevant Ibèric,1981-1990,0.0,0,7
Episodi fred i humit,NAO,Neutral,Primavera,Llevant Ibèric,1991-2000,0.0,0,6
Episodi fred i humit,NAO,Neutral,Primavera,Llevant Ibèric,2001-2010,0.0,0,8
Episodi fred i humit,NAO,Neutral,Primavera,Llevant Ibèric,2011-2020,0.0,0,7
Episodi fred i humit,NAO,Neutral,Estiu,Llevant Ibèric,Tots,0.0,0,19
Episodi fred i humit,NAO,Neutral,Estiu,Llevant Ibèric,1981-1990,0.0,0,2
Episodi fred i humit,NAO,Neutral,Estiu,Llevant Ibèric,1991-2000,0.0,0,5
Episodi fred i humit,NAO,Neutral,Estiu,Llevant Ibèric,2001-2010,0.0,0,7
Episodi fred i humit,NAO,Neutral,Estiu,Llevant Ibèric,2011-2020,0.0,0,5
Episodi fred i humit,NAO,Neutral,Tardor,Llevant Ibèric,Tots,9.09,2,22
Episodi fred i humit,NAO,Neutral,Tardor,Llevant Ibèric,1981-1990,25.0,1,4
Episodi fred i humit,NAO,Neutral,Tardor,Llevant Ibèric,1991-2000,0.0,0,4
Episodi fred i humit,NAO,Neutral,Tardor,Llevant Ibèric,2001-2010,14.29,1,7
Episodi fred i humit,NAO,Neutral,Tardor,Llevant Ibèric,2011-2020,0.0,0,7
Episodi fred i humit,NAO,Neutral,Hivern,Catalunya-Balears,Tots,4.35,1,23
Episodi fred i humit,NAO,Neutral,Hivern,Catalunya-Balears,1981-1990,0.0,0,5
Episodi fred i humit,NAO,Neutral,Hivern,Catalunya-Balears,1991-2000,0.0,0,8
Episodi fred i humit,NAO,Neutral,Hivern,Catalunya-Balears,2001-2010,0.0,0,6
Episodi fred i humit,NAO,Neutral,Hivern,Catalunya-Balears,2011-2020,25.0,1,4
Episodi fred i humit,NAO,Neutral,Primavera,Catalunya-Balears,Tots,3.57,1,28
Episodi fred i humit,NAO,Neutral,Primavera,Catalunya-Balears,1981-1990,14.29,1,7
Episodi fred i humit,NAO,Neutral,Primavera,Catalunya-Balears,1991-2000,0.0,0,6
Episodi fred i humit,NAO,Neutral,Primavera,Catalunya-Balears,2001-2010,0.0,0,8
Episodi fred i humit,NAO,Neutral,Primavera,Catalunya-Balears,2011-2020,0.0,0,7
Episodi fred i humit,NAO,Neutral,Estiu,Catalunya-Balears,Tots,0.0,0,19
Episodi fred i humit,NAO,Neutral,Estiu,Catalunya-Balears,1981-1990,0.0,0,2
Episodi fred i humit,NAO,Neutral,Estiu,Catalunya-Balears,1991-2000,0.0,0,5
Episodi fred i humit,NAO,Neutral,Estiu,Catalunya-Balears,2001-2010,0.0,0,7
Episodi fred i humit,NAO,Neutral,Estiu,Catalunya-Balears,2011-2020,0.0,0,5
Episodi fred i humit,NAO,Neutral,Tardor,Catalunya-Balears,Tots,4.55,1,22
Episodi fred i humit,NAO,Neutral,Tardor,Catalunya-Balears,1981-1990,0.0,0,4
Episodi fred i humit,NAO,Neutral,Tardor,Catalunya-Balears,1991-2000,0.0,0,4
Episodi fred i humit,NAO,Neutral,Tardor,Catalunya-Balears,2001-2010,14.29,1,7
Episodi fred i humit,NAO,Neutral,Tardor,Catalunya-Balears,2011-2020,0.0,0,7
Episodi fred i humit,NAO,Neutral,Hivern,Golf del Lleó,Tots,4.35,1,23
Episodi fred i humit,NAO,Neutral,Hivern,Golf del Lleó,1981-1990,0.0,0,5
Episodi fred i humit,NAO,Neutral,Hivern,Golf del Lleó,1991-2000,12.5,1,8
Episodi fred i humit,NAO,Neutral,Hivern,Golf del Lleó,2001-2010,0.0,0,6
Episodi fred i humit,NAO,Neutral,Hivern,Golf del Lleó,2011-2020,0.0,0,4
Episodi fred i humit,NAO,Neutral,Primavera,Golf del Lleó,Tots,14.29,4,28
Episodi fred i humit,NAO,Neutral,Primavera,Golf del Lleó,1981-1990,42.86,3,7
Episodi fred i humit,NAO,Neutral,Primavera,Golf del Lleó,1991-2000,16.67,1,6
Episodi fred i humit,NAO,Neutral,Primavera,Golf del Lleó,2001-2010,0.0,0,8
Episodi fred i humit,NAO,Neutral,Primavera,Golf del Lleó,2011-2020,0.0,0,7
Episodi fred i humit,NAO,Neutral,Estiu,Golf del Lleó,Tots,0.0,0,19
Episodi fred i humit,NAO,Neutral,Estiu,Golf del Lleó,1981-1990,0.0,0,2
Episodi fred i humit,NAO,Neutral,Estiu,Golf del Lleó,1991-2000,0.0,0,5
Episodi fred i humit,NAO,Neutral,Estiu,Golf del Lleó,2001-2010,0.0,0,7
Episodi fred i humit,NAO,Neutral,Estiu,Golf del Lleó,2011-2020,0.0,0,5
Episodi fred i humit,NAO,Neutral,Tardor,Golf del Lleó,Tots,0.0,0,22
Episodi fred i humit,NAO,Neutral,Tardor,Golf del Lleó,1981-1990,0.0,0,4
Episodi fred i humit,NAO,Neutral,Tardor,Golf del Lleó,1991-2000,0.0,0,4
Episodi fred i humit,NAO,Neutral,Tardor,Golf del Lleó,2001-2010,0.0,0,7
Episodi fred i humit,NAO,Neutral,Tardor,Golf del Lleó,2011-2020,0.0,0,7
Episodi fred i humit,NAO,Neutral,Hivern,Mediterrani central occidental,Tots,8.7,2,23
Episodi fred i humit,NAO,Neutral,Hivern,Mediterrani central occidental,1981-1990,20.0,1,5
Episodi fred i humit,NAO,Neutral,Hivern,Mediterrani central occidental,1991-2000,0.0,0,8
Episodi fred i humit,NAO,Neutral,Hivern,Mediterrani central occidental,2001-2010,0.0,0,6
Episodi fred i humit,NAO,Neutral,Hivern,Mediterrani central occidental,2011-2020,25.0,1,4
Episodi fred i humit,NAO,Neutral,Primavera,Mediterrani central occidental,Tots,3.57,1,28
Episodi fred i humit,NAO,Neutral,Primavera,Mediterrani central occidental,1981-1990,14.29,1,7
Episodi fred i humit,NAO,Neutral,Primavera,Mediterrani central occidental,1991-2000,0.0,0,6
Episodi fred i humit,NAO,Neutral,Primavera,Mediterrani central occidental,2001-2010,0.0,0,8
Episodi fred i humit,NAO,Neutral,Primavera,Mediterrani central occidental,2011-2020,0.0,0,7
Episodi fred i humit,NAO,Neutral,Estiu,Mediterrani central occidental,Tots,0.0,0,19
Episodi fred i humit,NAO,Neutral,Estiu,Mediterrani central occidental,1981-1990,0.0,0,2
Episodi fred i humit,NAO,Neutral,Estiu,Mediterrani central occidental,1991-2000,0.0,0,5
Episodi fred i humit,NAO,Neutral,Estiu,Mediterrani central occidental,2001-2010,0.0,0,7
Episodi fred i humit,NAO,Neutral,Estiu,Mediterrani central occidental,2011-2020,0.0,0,5
Episodi fred i humit,NAO,Neutral,Tardor,Mediterrani central occidental,Tots,0.0,0,22
Episodi fred i humit,NAO,Neutral,Tardor,Mediterrani central occidental,1981-1990,0.0,0,4
Episodi fred i humit,NAO,Neutral,Tardor,Mediterrani central occidental,1991-2000,0.0,0,4
Episodi fred i humit,NAO,Neutral,Tardor,Mediterrani central occidental,2001-2010,0.0,0,7
Episodi fred i humit,NAO,Neutral,Tardor,Mediterrani central occidental,2011-2020,0.0,0,7
Sòl molt sec,NAO,Neutral,Hivern,Llevant Ibèric,Tots,21.74,5,23
Sòl molt sec,NAO,Neutral,Hivern,Llevant Ibèric,1981-1990,0.0,0,5
Sòl molt sec,NAO,Neutral,Hivern,Llevant Ibèric,1991-2000,25.0,2,8
Sòl molt sec,NAO,Neutral,Hivern,Llevant Ibèric,2001-2010,16.67,1,6
Sòl molt sec,NAO,Neutral,Hivern,Llevant Ibèric,2011-2020,50.0,2,4
Sòl molt sec,NAO,Neutral,Primavera,Llevant Ibèric,Tots,39.29,11,28
Sòl molt sec,NAO,Neutral,Primavera,Llevant Ibèric,1981-1990,28.57,2,7
Sòl molt sec,NAO,Neutral,Primavera,Llevant Ibèric,1991-2000,66.67,4,6
Sòl molt sec,NAO,Neutral,Primavera,Llevant Ibèric,2001-2010,37.5,3,8
Sòl molt sec,NAO,Neutral,Primavera,Llevant Ibèric,2011-2020,28.57,2,7
Sòl molt sec,NAO,Neutral,Estiu,Llevant Ibèric,Tots,5.26,1,19
Sòl molt sec,NAO,Neutral,Estiu,Llevant Ibèric,1981-1990,0.0,0,2
Sòl molt sec,NAO,Neutral,Estiu,Llevant Ibèric,1991-2000,0.0,0,5
Sòl molt sec,NAO,Neutral,Estiu,Llevant Ibèric,2001-2010,0.0,0,7
Sòl molt sec,NAO,Neutral,Estiu,Llevant Ibèric,2011-2020,20.0,1,5
Sòl molt sec,NAO,Neutral,Tardor,Llevant Ibèric,Tots,45.45,10,22
Sòl molt sec,NAO,Neutral,Tardor,Llevant Ibèric,1981-1990,75.0,3,4
Sòl molt sec,NAO,Neutral,Tardor,Llevant Ibèric,1991-2000,25.0,1,4
Sòl molt sec,NAO,Neutral,Tardor,Llevant Ibèric,2001-2010,28.57,2,7
Sòl molt sec,NAO,Neutral,Tardor,Llevant Ibèric,2011-2020,57.14,4,7
Sòl molt sec,NAO,Neutral,Hivern,Catalunya-Balears,Tots,4.35,1,23
Sòl molt sec,NAO,Neutral,Hivern,Catalunya-Balears,1981-1990,0.0,0,5
Sòl molt sec,NAO,Neutral,Hivern,Catalunya-Balears,1991-2000,12.5,1,8
Sòl molt sec,NAO,Neutral,Hivern,Catalunya-Balears,2001-2010,0.0,0,6
Sòl molt sec,NAO,Neutral,Hivern,Catalunya-Balears,2011-2020,0.0,0,4
Sòl molt sec,NAO,Neutral,Primavera,Catalunya-Balears,Tots,25.0,7,28
Sòl molt sec,NAO,Neutral,Primavera,Catalunya-Balears,1981-1990,0.0,0,7
Sòl molt sec,NAO,Neutral,Primavera,Catalunya-Balears,1991-2000,33.33,2,6
Sòl molt sec,NAO,Neutral,Primavera,Catalunya-Balears,2001-2010,37.5,3,8
Sòl molt sec,NAO,Neutral,Primavera,Catalunya-Balears,2011-2020,28.57,2,7
Sòl molt sec,NAO,Neutral,Estiu,Catalunya-Balears,Tots,31.58,6,19
Sòl molt sec,NAO,Neutral,Estiu,Catalunya-Balears,1981-1990,0.0,0,2
Sòl molt sec,NAO,Neutral,Estiu,Catalunya-Balears,1991-2000,60.0,3,5
Sòl molt sec,NAO,Neutral,Estiu,Catalunya-Balears,2001-2010,14.29,1,7
Sòl molt sec,NAO,Neutral,Estiu,Catalunya-Balears,2011-2020,40.0,2,5
Sòl molt sec,NAO,Neutral,Tardor,Catalunya-Balears,Tots,18.18,4,22
Sòl molt sec,NAO,Neutral,Tardor,Catalunya-Balears,1981-1990,50.0,2,4
Sòl molt sec,NAO,Neutral,Tardor,Catalunya-Balears,1991-2000,0.0,0,4
Sòl molt sec,NAO,Neutral,Tardor,Catalunya-Balears,2001-2010,0.0,0,7
Sòl molt sec,NAO,Neutral,Tardor,Catalunya-Balears,2011-2020,28.57,2,7
Sòl molt sec,NAO,Neutral,Hivern,Golf del Lleó,Tots,4.35,1,23
Sòl molt sec,NAO,Neutral,Hivern,Golf del Lleó,1981-1990,0.0,0,5
Sòl molt sec,NAO,Neutral,Hivern,Golf del Lleó,1991-2000,12.5,1,8
Sòl molt sec,NAO,Neutral,Hivern,Golf del Lleó,2001-2010,0.0,0,6
Sòl molt sec,NAO,Neutral,Hivern,Golf del Lleó,2011-2020,0.0,0,4
Sòl molt sec,NAO,Neutral,Primavera,Golf del Lleó,Tots,10.71,3,28
Sòl molt sec,NAO,Neutral,Primavera,Golf del Lleó,1981-1990,0.0,0,7
Sòl molt sec,NAO,Neutral,Primavera,Golf del Lleó,1991-2000,0.0,0,6
Sòl molt sec,NAO,Neutral,Primavera,Golf del Lleó,2001-2010,25.0,2,8
Sòl molt sec,NAO,Neutral,Primavera,Golf del Lleó,2011-2020,14.29,1,7
Sòl molt sec,NAO,Neutral,Estiu,Golf del Lleó,Tots,52.63,10,19
Sòl molt sec,NAO,Neutral,Estiu,Golf del Lleó,1981-1990,0.0,0,2
Sòl molt sec,NAO,Neutral,Estiu,Golf del Lleó,1991-2000,40.0,2,5
Sòl molt sec,NAO,Neutral,Estiu,Golf del Lleó,2001-2010,71.43,5,7
Sòl molt sec,NAO,Neutral,Estiu,Golf del Lleó,2011-2020,60.0,3,5
Sòl molt sec,NAO,Neutral,Tardor,Golf del Lleó,Tots,22.73,5,22
Sòl molt sec,NAO,Neutral,Tardor,Golf del Lleó,1981-1990,50.0,2,4
Sòl molt sec,NAO,Neutral,Tardor,Golf del Lleó,1991-2000,0.0,0,4
Sòl molt sec,NAO,Neutral,Tardor,Golf del Lleó,2001-2010,28.57,2,7
Sòl molt sec,NAO,Neutral,Tardor,Golf del Lleó,2011-2020,14.29,1,7
Sòl molt sec,NAO,Neutral,Hivern,Mediterrani central occidental,Tots,4.35,1,23
Sòl molt sec,NAO,Neutral,Hivern,Mediterrani central occidental,1981-1990,20.0,1,5
Sòl molt sec,NAO,Neutral,Hivern,Mediterrani central occidental,1991-2000,0.0,0,8
Sòl molt sec,NAO,Neutral,Hivern,Mediterrani central occidental,2001-2010,0.0,0,6
Sòl molt sec,NAO,Neutral,Hivern,Mediterrani central occidental,2011-2020,0.0,0,4
Sòl molt sec,NAO,Neutral,Primavera,Mediterrani central occidental,Tots,28.57,8,28
Sòl molt sec,NAO,Neutral,Primavera,Mediterrani central occidental,1981-1990,14.29,1,7
Sòl molt sec,NAO,Neutral,Primavera,Mediterrani central occidental,1991-2000,33.33,2,6
Sòl molt sec,NAO,Neutral,Primavera,Mediterrani central occidental,2001-2010,37.5,3,8
Sòl molt sec,NAO,Neutral,Primavera,Mediterrani central occidental,2011-2020,28.57,2,7
Sòl molt sec,NAO,Neutral,Estiu,Mediterrani central occidental,Tots,21.05,4,19
Sòl molt sec,NAO,Neutral,Estiu,Mediterrani central occidental,1981-1990,0.0,0,2
Sòl molt sec,NAO,Neutral,Estiu,Mediterrani central occidental,1991-2000,20.0,1,5
Sòl molt sec,NAO,Neutral,Estiu,Mediterrani central occidental,2001-2010,14.29,1,7
Sòl molt sec,NAO,Neutral,Estiu,Mediterrani central occidental,2011-2020,40.0,2,5
Sòl molt sec,NAO,Neutral,Tardor,Mediterrani central occidental,Tots,36.36,8,22
Sòl molt sec,NAO,Neutral,Tardor,Mediterrani central occidental,1981-1990,50.0,2,4
Sòl molt sec,NAO,Neutral,Tardor,Mediterrani central occidental,1991-2000,25.0,1,4
Sòl molt sec,NAO,Neutral,Tardor,Mediterrani central occidental,2001-2010,42.86,3,7
Sòl molt sec,NAO,Neutral,Tardor,Mediterrani central occidental,2011-2020,28.57,2,7
Sòl molt humit,NAO,Neutral,Hivern,Llevant Ibèric,Tots,56.52,13,23
Sòl molt humit,NAO,Neutral,Hivern,Llevant Ibèric,1981-1990,80.0,4,5
Sòl molt humit,NAO,Neutral,Hivern,Llevant Ibèric,1991-2000,62.5,5,8
Sòl molt humit,NAO,Neutral,Hivern,Llevant Ibèric,2001-2010,33.33,2,6
Sòl molt humit,NAO,Neutral,Hivern,Llevant Ibèric,2011-2020,50.0,2,4
Sòl molt humit,NAO,Neutral,Primavera,Llevant Ibèric,Tots,25.0,7,28
Sòl molt humit,NAO,Neutral,Primavera,Llevant Ibèric,1981-1990,28.57,2,7
Sòl molt humit,NAO,Neutral,Primavera,Llevant Ibèric,1991-2000,0.0,0,6
Sòl molt humit,NAO,Neutral,Primavera,Llevant Ibèric,2001-2010,25.0,2,8
Sòl molt humit,NAO,Neutral,Primavera,Llevant Ibèric,2011-2020,42.86,3,7
Sòl molt humit,NAO,Neutral,Estiu,Llevant Ibèric,Tots,5.26,1,19
Sòl molt humit,NAO,Neutral,Estiu,Llevant Ibèric,1981-1990,50.0,1,2
Sòl molt humit,NAO,Neutral,Estiu,Llevant Ibèric,1991-2000,0.0,0,5
Sòl molt humit,NAO,Neutral,Estiu,Llevant Ibèric,2001-2010,0.0,0,7
Sòl molt humit,NAO,Neutral,Estiu,Llevant Ibèric,2011-2020,0.0,0,5
Sòl molt humit,NAO,Neutral,Tardor,Llevant Ibèric,Tots,27.27,6,22
Sòl molt humit,NAO,Neutral,Tardor,Llevant Ibèric,1981-1990,0.0,0,4
Sòl molt humit,NAO,Neutral,Tardor,Llevant Ibèric,1991-2000,0.0,0,4
Sòl molt humit,NAO,Neutral,Tardor,Llevant Ibèric,2001-2010,57.14,4,7
Sòl molt humit,NAO,Neutral,Tardor,Llevant Ibèric,2011-2020,28.57,2,7
Sòl molt humit,NAO,Neutral,Hivern,Catalunya-Balears,Tots,21.74,5,23
Sòl molt humit,NAO,Neutral,Hivern,Catalunya-Balears,1981-1990,20.0,1,5
Sòl molt humit,NAO,Neutral,Hivern,Catalunya-Balears,1991-2000,25.0,2,8
Sòl molt humit,NAO,Neutral,Hivern,Catalunya-Balears,2001-2010,16.67,1,6
Sòl molt humit,NAO,Neutral,Hivern,Catalunya-Balears,2011-2020,25.0,1,4
Sòl molt humit,NAO,Neutral,Primavera,Catalunya-Balears,Tots,28.57,8,28
Sòl molt humit,NAO,Neutral,Primavera,Catalunya-Balears,1981-1990,42.86,3,7
Sòl molt humit,NAO,Neutral,Primavera,Catalunya-Balears,1991-2000,16.67,1,6
Sòl molt humit,NAO,Neutral,Primavera,Catalunya-Balears,2001-2010,25.0,2,8
Sòl molt humit,NAO,Neutral,Primavera,Catalunya-Balears,2011-2020,28.57,2,7
Sòl molt humit,NAO,Neutral,Estiu,Catalunya-Balears,Tots,15.79,3,19
Sòl molt humit,NAO,Neutral,Estiu,Catalunya-Balears,1981-1990,100.0,2,2
Sòl molt humit,NAO,Neutral,Estiu,Catalunya-Balears,1991-2000,20.0,1,5
Sòl molt humit,NAO,Neutral,Estiu,Catalunya-Balears,2001-2010,0.0,0,7
Sòl molt humit,NAO,Neutral,Estiu,Catalunya-Balears,2011-2020,0.0,0,5
Sòl molt humit,NAO,Neutral,Tardor,Catalunya-Balears,Tots,27.27,6,22
Sòl molt humit,NAO,Neutral,Tardor,Catalunya-Balears,1981-1990,25.0,1,4
Sòl molt humit,NAO,Neutral,Tardor,Catalunya-Balears,1991-2000,0.0,0,4
Sòl molt humit,NAO,Neutral,Tardor,Catalunya-Balears,2001-2010,57.14,4,7
Sòl molt humit,NAO,Neutral,Tardor,Catalunya-Balears,2011-2020,14.29,1,7
Sòl molt humit,NAO,Neutral,Hivern,Golf del Lleó,Tots,4.35,1,23
Sòl molt humit,NAO,Neutral,Hivern,Golf del Lleó,1981-1990,0.0,0,5
Sòl molt humit,NAO,Neutral,Hivern,Golf del Lleó,1991-2000,0.0,0,8
Sòl molt humit,NAO,Neutral,Hivern,Golf del Lleó,2001-2010,16.67,1,6
Sòl molt humit,NAO,Neutral,Hivern,Golf del Lleó,2011-2020,0.0,0,4
Sòl molt humit,NAO,Neutral,Primavera,Golf del Lleó,Tots,17.86,5,28
Sòl molt humit,NAO,Neutral,Primavera,Golf del Lleó,1981-1990,42.86,3,7
Sòl molt humit,NAO,Neutral,Primavera,Golf del Lleó,1991-2000,0.0,0,6
Sòl molt humit,NAO,Neutral,Primavera,Golf del Lleó,2001-2010,12.5,1,8
Sòl molt humit,NAO,Neutral,Primavera,Golf del Lleó,2011-2020,14.29,1,7
Sòl molt humit,NAO,Neutral,Estiu,Golf del Lleó,Tots,15.79,3,19
Sòl molt humit,NAO,Neutral,Estiu,Golf del Lleó,1981-1990,100.0,2,2
Sòl molt humit,NAO,Neutral,Estiu,Golf del Lleó,1991-2000,20.0,1,5
Sòl molt humit,NAO,Neutral,Estiu,Golf del Lleó,2001-2010,0.0,0,7
Sòl molt humit,NAO,Neutral,Estiu,Golf del Lleó,2011-2020,0.0,0,5
Sòl molt humit,NAO,Neutral,Tardor,Golf del Lleó,Tots,22.73,5,22
Sòl molt humit,NAO,Neutral,Tardor,Golf del Lleó,1981-1990,50.0,2,4
Sòl molt humit,NAO,Neutral,Tardor,Golf del Lleó,1991-2000,50.0,2,4
Sòl molt humit,NAO,Neutral,Tardor,Golf del Lleó,2001-2010,14.29,1,7
Sòl molt humit,NAO,Neutral,Tardor,Golf del Lleó,2011-2020,0.0,0,7
Sòl molt humit,NAO,Neutral,Hivern,Mediterrani central occidental,Tots,26.09,6,23
Sòl molt humit,NAO,Neutral,Hivern,Mediterrani central occidental,1981-1990,20.0,1,5
Sòl molt humit,NAO,Neutral,Hivern,Mediterrani central occidental,1991-2000,25.0,2,8
Sòl molt humit,NAO,Neutral,Hivern,Mediterrani central occidental,2001-2010,33.33,2,6
Sòl molt humit,NAO,Neutral,Hivern,Mediterrani central occidental,2011-2020,25.0,1,4
Sòl molt humit,NAO,Neutral,Primavera,Mediterrani central occidental,Tots,32.14,9,28
Sòl molt humit,NAO,Neutral,Primavera,Mediterrani central occidental,1981-1990,42.86,3,7
Sòl molt humit,NAO,Neutral,Primavera,Mediterrani central occidental,1991-2000,33.33,2,6
Sòl molt humit,NAO,Neutral,Primavera,Mediterrani central occidental,2001-2010,12.5,1,8
Sòl molt humit,NAO,Neutral,Primavera,Mediterrani central occidental,2011-2020,42.86,3,7
Sòl molt humit,NAO,Neutral,Estiu,Mediterrani central occidental,Tots,5.26,1,19
Sòl molt humit,NAO,Neutral,Estiu,Mediterrani central occidental,1981-1990,50.0,1,2
Sòl molt humit,NAO,Neutral,Estiu,Mediterrani central occidental,1991-2000,0.0,0,5
Sòl molt humit,NAO,Neutral,Estiu,Mediterrani central occidental,2001-2010,0.0,0,7
Sòl molt humit,NAO,Neutral,Estiu,Mediterrani central occidental,2011-2020,0.0,0,5
Sòl molt humit,NAO,Neutral,Tardor,Mediterrani central occidental,Tots,36.36,8,22
Sòl molt humit,NAO,Neutral,Tardor,Mediterrani central occidental,1981-1990,25.0,1,4
Sòl molt humit,NAO,Neutral,Tardor,Mediterrani central occidental,1991-2000,75.0,3,4
Sòl molt humit,NAO,Neutral,Tardor,Mediterrani central occidental,2001-2010,14.29,1,7
Sòl molt humit,NAO,Neutral,Tardor,Mediterrani central occidental,2011-2020,42.86,3,7
Mes molt càlid,NAO,Neutral,Hivern,Llevant Ibèric,Tots,13.04,3,23
Mes molt càlid,NAO,Neutral,Hivern,Llevant Ibèric,1981-1990,0.0,0,5
Mes molt càlid,NAO,Neutral,Hivern,Llevant Ibèric,1991-2000,0.0,0,8
Mes molt càlid,NAO,Neutral,Hivern,Llevant Ibèric,2001-2010,50.0,3,6
